	matchId	rank	elo
457	LA1_1202772614	IV	IRON
458	LA1_1202758159	IV	IRON
459	LA1_1201729866	IV	IRON
460	LA1_1283968163	IV	IRON
461	LA1_1283935715	IV	IRON
462	LA1_1277853839	IV	IRON
463	LA1_1273427887	IV	IRON
464	LA1_1273422733	IV	IRON
465	LA1_1273142196	IV	IRON
466	LA1_1272964082	IV	IRON
467	LA1_1272889618	IV	IRON
468	LA1_1272885906	IV	IRON
469	LA1_1272910906	IV	IRON
470	LA1_1272858686	IV	IRON
471	LA1_1271160535	IV	IRON
472	LA1_1271129112	IV	IRON
473	LA1_1270988978	IV	IRON
474	LA1_1270975324	IV	IRON
475	LA1_1270456167	IV	IRON
476	LA1_1270471163	IV	IRON
477	LA1_1270418452	IV	IRON
478	LA1_1270433847	IV	IRON
479	LA1_1270384684	IV	IRON
480	LA1_1273740352	IV	IRON
481	LA1_1273706283	IV	IRON
482	LA1_1273702056	IV	IRON
483	LA1_1273669688	IV	IRON
484	LA1_1273600654	IV	IRON
485	LA1_1251432628	IV	IRON
486	LA1_1251114601	IV	IRON
487	LA1_1251110874	IV	IRON
488	LA1_1250706707	IV	IRON
489	LA1_1250694238	IV	IRON
490	LA1_1250144079	IV	IRON
491	LA1_1250096596	IV	IRON
492	LA1_1249994828	IV	IRON
493	LA1_1248626660	IV	IRON
494	LA1_1248615219	IV	IRON
495	LA1_1248295449	IV	IRON
496	LA1_1247995889	IV	IRON
497	LA1_1247983764	IV	IRON
498	LA1_1247921282	IV	IRON
499	LA1_1247334077	IV	IRON
500	LA1_1268965833	IV	IRON
501	LA1_1268961921	IV	IRON
502	LA1_1257730003	IV	IRON
503	LA1_1254386895	IV	IRON
504	LA1_1254335441	IV	IRON
505	LA1_1250958690	IV	IRON
506	LA1_1250935366	IV	IRON
507	LA1_1250951162	IV	IRON
508	LA1_1249634586	IV	IRON
509	LA1_1249611589	IV	IRON
510	LA1_1237908284	IV	IRON
511	LA1_1237897778	IV	IRON
512	LA1_1237896570	IV	IRON
513	LA1_1237727784	IV	IRON
514	LA1_1235069482	IV	IRON
515	LA1_1235083378	IV	IRON
516	LA1_1235090476	IV	IRON
517	LA1_1234421465	IV	IRON
518	LA1_1234387882	IV	IRON
519	LA1_1234087848	IV	IRON
520	LA1_1288102507	IV	IRON
521	LA1_1288120179	IV	IRON
522	LA1_1288091236	IV	IRON
523	LA1_1288002042	IV	IRON
524	LA1_1287946954	IV	IRON
525	LA1_1287879103	IV	IRON
526	LA1_1287875753	IV	IRON
527	LA1_1287881860	IV	IRON
528	LA1_1287838981	IV	IRON
529	LA1_1287820868	IV	IRON
530	LA1_1287776971	IV	IRON
531	LA1_1287726453	IV	IRON
532	LA1_1287724032	IV	IRON
533	LA1_1287751925	IV	IRON
534	LA1_1287751456	IV	IRON
535	LA1_1287740267	IV	IRON
536	LA1_1287547728	IV	IRON
537	LA1_1287495378	IV	IRON
538	LA1_1287513939	IV	IRON
539	LA1_1287500520	IV	IRON
540	LA1_1283646860	IV	IRON
541	LA1_1283631330	IV	IRON
542	LA1_1283585529	IV	IRON
543	LA1_1283581245	IV	IRON
544	LA1_1276816169	IV	IRON
545	LA1_1275073926	IV	IRON
546	LA1_1275036932	IV	IRON
547	LA1_1275011353	IV	IRON
548	LA1_1267574227	IV	IRON
549	LA1_1264265607	IV	IRON
550	LA1_1263309428	IV	IRON
551	LA1_1263287315	IV	IRON
552	LA1_1263312494	IV	IRON
553	LA1_1259624419	IV	IRON
554	LA1_1259630989	IV	IRON
555	LA1_1259576319	IV	IRON
556	LA1_1259568149	IV	IRON
557	LA1_1259543990	IV	IRON
558	LA1_1257631753	IV	IRON
559	LA1_1252139050	IV	IRON
560	LA1_1293943955	IV	IRON
561	LA1_1293236963	IV	IRON
562	LA1_1293214360	IV	IRON
563	LA1_1293085516	IV	IRON
564	LA1_1293071107	IV	IRON
565	LA1_1293036194	IV	IRON
566	LA1_1292803866	IV	IRON
567	LA1_1292802363	IV	IRON
568	LA1_1292768561	IV	IRON
569	LA1_1292385305	IV	IRON
570	LA1_1292391809	IV	IRON
571	LA1_1292358971	IV	IRON
572	LA1_1292143956	IV	IRON
573	LA1_1292160829	IV	IRON
574	LA1_1292098127	IV	IRON
575	LA1_1291811588	IV	IRON
576	LA1_1291808311	IV	IRON
577	LA1_1291793086	IV	IRON
578	LA1_1291557820	IV	IRON
579	LA1_1291543875	IV	IRON
580	LA1_1287319075	IV	IRON
581	LA1_1287307004	IV	IRON
582	LA1_1287303155	IV	IRON
583	LA1_1287282877	IV	IRON
584	LA1_1287228302	IV	IRON
585	LA1_1287080929	IV	IRON
586	LA1_1287036737	IV	IRON
587	LA1_1286731082	IV	IRON
588	LA1_1286447035	IV	IRON
589	LA1_1286299978	IV	IRON
590	LA1_1286315989	IV	IRON
591	LA1_1286303040	IV	IRON
592	LA1_1286288148	IV	IRON
593	LA1_1286265253	IV	IRON
594	LA1_1286283951	IV	IRON
595	LA1_1286271862	IV	IRON
596	LA1_1286090362	IV	IRON
597	LA1_1286084884	IV	IRON
598	LA1_1286039200	IV	IRON
599	LA1_1286045417	IV	IRON
600	LA1_1292063466	IV	IRON
601	LA1_1292081533	IV	IRON
602	LA1_1291352785	IV	IRON
603	LA1_1290540205	IV	IRON
604	LA1_1290508869	IV	IRON
605	LA1_1287374866	IV	IRON
606	LA1_1287269582	IV	IRON
607	LA1_1287265578	IV	IRON
608	LA1_1287209781	IV	IRON
609	LA1_1287208475	IV	IRON
610	LA1_1287127117	IV	IRON
611	LA1_1287011493	IV	IRON
612	LA1_1286987237	IV	IRON
613	LA1_1286974475	IV	IRON
614	LA1_1286615996	IV	IRON
615	LA1_1286644393	IV	IRON
616	LA1_1285957449	IV	IRON
617	LA1_1285138545	IV	IRON
618	LA1_1285136627	IV	IRON
619	LA1_1284678389	IV	IRON
620	LA1_1273685791	IV	IRON
621	LA1_1273564645	IV	IRON
622	LA1_1273591850	IV	IRON
623	LA1_1273473242	IV	IRON
624	LA1_1273407954	IV	IRON
625	LA1_1272784683	IV	IRON
626	LA1_1271468169	IV	IRON
627	LA1_1271245251	IV	IRON
628	LA1_1271252288	IV	IRON
629	LA1_1267920520	IV	IRON
630	LA1_1263427860	IV	IRON
631	LA1_1263424194	IV	IRON
632	LA1_1263255460	IV	IRON
633	LA1_1263273131	IV	IRON
634	LA1_1262892937	IV	IRON
635	LA1_1262491696	IV	IRON
636	LA1_1260237269	IV	IRON
637	LA1_1259888683	IV	IRON
638	LA1_1259403866	IV	IRON
639	LA1_1258122233	IV	IRON
640	LA1_1274646115	IV	IRON
641	LA1_1274640305	IV	IRON
642	LA1_1272592975	IV	IRON
643	LA1_1272374913	IV	IRON
644	LA1_1272363538	IV	IRON
645	LA1_1272349755	IV	IRON
646	LA1_1272347399	IV	IRON
647	LA1_1270243405	IV	IRON
648	LA1_1270208082	IV	IRON
649	LA1_1270212373	IV	IRON
650	LA1_1270168358	IV	IRON
651	LA1_1270098125	IV	IRON
652	LA1_1270112916	IV	IRON
653	LA1_1270057321	IV	IRON
654	LA1_1270004861	IV	IRON
655	LA1_1270040813	IV	IRON
656	LA1_1269944029	IV	IRON
657	LA1_1269777040	IV	IRON
658	LA1_1269781974	IV	IRON
659	LA1_1269735798	IV	IRON
660	LA1_1293018924	IV	IRON
661	LA1_1281851985	IV	IRON
662	LA1_1276093228	IV	IRON
663	LA1_1275691754	IV	IRON
664	LA1_1274146855	IV	IRON
665	LA1_1273706348	IV	IRON
666	LA1_1273205827	IV	IRON
667	LA1_1272369991	IV	IRON
668	LA1_1261690864	IV	IRON
669	LA1_1260679542	IV	IRON
670	LA1_1260289683	IV	IRON
671	LA1_1257484194	IV	IRON
672	LA1_1254094894	IV	IRON
673	LA1_1253246869	IV	IRON
674	LA1_1253200158	IV	IRON
675	LA1_1252331160	IV	IRON
676	LA1_1251935816	IV	IRON
677	LA1_1251093182	IV	IRON
678	LA1_1250000782	IV	IRON
679	LA1_1249829221	IV	IRON
680	LA1_1290247103	IV	IRON
681	LA1_1290212870	IV	IRON
682	LA1_1290037885	IV	IRON
683	LA1_1290037382	IV	IRON
684	LA1_1290045592	IV	IRON
685	LA1_1290044153	IV	IRON
686	LA1_1262503174	IV	IRON
687	LA1_1262501862	IV	IRON
688	LA1_1258427186	IV	IRON
689	LA1_1258444768	IV	IRON
690	LA1_1258406030	IV	IRON
691	LA1_1258394695	IV	IRON
692	LA1_1258382801	IV	IRON
693	LA1_1255133637	IV	IRON
694	LA1_1255099285	IV	IRON
695	LA1_1252598181	IV	IRON
696	LA1_1252596990	IV	IRON
697	LA1_1252575919	IV	IRON
698	LA1_1249408413	IV	IRON
699	LA1_1249373908	IV	IRON
700	LA1_1293813406	IV	IRON
701	LA1_1293809700	IV	IRON
702	LA1_1278197285	IV	IRON
703	LA1_1278204323	IV	IRON
704	LA1_1277834875	IV	IRON
705	LA1_1277802014	IV	IRON
706	LA1_1277797585	IV	IRON
707	LA1_1277765621	IV	IRON
708	LA1_1276495260	IV	IRON
709	LA1_1276513190	IV	IRON
710	LA1_1276492385	IV	IRON
711	LA1_1276481264	IV	IRON
712	LA1_1276386365	IV	IRON
713	LA1_1276321017	IV	IRON
714	LA1_1276245736	IV	IRON
715	LA1_1276179922	IV	IRON
716	LA1_1276112532	IV	IRON
717	LA1_1276049832	IV	IRON
718	LA1_1276048550	IV	IRON
719	LA1_1275859906	IV	IRON
720	LA1_1268274803	IV	IRON
721	LA1_1268253157	IV	IRON
722	LA1_1268281130	IV	IRON
723	LA1_1259605625	IV	IRON
724	LA1_1259572597	IV	IRON
725	LA1_1259538200	IV	IRON
726	LA1_1259173832	IV	IRON
727	LA1_1258477727	IV	IRON
728	LA1_1258455164	IV	IRON
729	LA1_1258440289	IV	IRON
730	LA1_1258344260	IV	IRON
731	LA1_1258112541	IV	IRON
732	LA1_1258080315	IV	IRON
733	LA1_1258000435	IV	IRON
734	LA1_1257623432	IV	IRON
735	LA1_1257310010	IV	IRON
736	LA1_1257269651	IV	IRON
737	LA1_1256859011	IV	IRON
738	LA1_1256877116	IV	IRON
739	LA1_1256825789	IV	IRON
740	LA1_1293368456	IV	IRON
741	LA1_1293345616	IV	IRON
742	LA1_1292970154	IV	IRON
743	LA1_1292875115	IV	IRON
744	LA1_1292852950	IV	IRON
745	LA1_1292656975	IV	IRON
746	LA1_1292653192	IV	IRON
747	LA1_1292647030	IV	IRON
748	LA1_1292641220	IV	IRON
749	LA1_1292555348	IV	IRON
750	LA1_1290780984	IV	IRON
751	LA1_1290746983	IV	IRON
752	LA1_1290734643	IV	IRON
753	LA1_1289671537	IV	IRON
754	LA1_1289630012	IV	IRON
755	LA1_1289607110	IV	IRON
756	LA1_1289539738	IV	IRON
757	LA1_1289546509	IV	IRON
758	LA1_1288859335	IV	IRON
759	LA1_1288888197	IV	IRON
760	LA1_1292159394	IV	IRON
761	LA1_1292164400	IV	IRON
762	LA1_1291751768	IV	IRON
763	LA1_1291649032	IV	IRON
764	LA1_1291618507	IV	IRON
765	LA1_1291636838	IV	IRON
766	LA1_1291645007	IV	IRON
767	LA1_1291633273	IV	IRON
768	LA1_1291494634	IV	IRON
769	LA1_1291520549	IV	IRON
770	LA1_1291429830	IV	IRON
771	LA1_1291445309	IV	IRON
772	LA1_1291342166	IV	IRON
773	LA1_1291330671	IV	IRON
